organization,country,entry_year,exit_year,in_data
oecd,India,,,0
oecd,Indonesia,,,0
oecd,Iran (Islamic Republic of),,,0
oecd,Iraq,,,0
oecd,Jamaica,,,0
oecd,Jersey  (UK),,,0
oecd,Jordan,,,0
oecd,Kazakhstan,,,0
oecd,Kenya,,,0
oecd,Kiribati,,,0
oecd,Kuwait,,,0
oecd,Kyrgyzstan,,,0
oecd,Lao People's Democratic Republic,,,0
oecd,Latvia,2016,,1
oecd,Lebanon,,,0
oecd,Lesotho,,,0
oecd,Liberia,,,0
oecd,Libya,,,0
oecd,Liechtenstein,,,0
oecd,Madagascar,,,0
oecd,Madeira Islands (Portugal),,,0
oecd,Malawi,,,0
oecd,Malaysia,,,0
oecd,Maldives,,,0
oecd,Mali,,,0
oecd,Malta,,,0
oecd,Marshall Islands,,,0
oecd,Mauritania,,,0
oecd,Mauritius,,,0
oecd,Micronesia (Federated States of),,,0
oecd,Monaco,,,0
oecd,Mongolia,,,0
oecd,Montenegro,,,0
oecd,Montserrat (UK),,,0
oecd,Morocco,,,0
oecd,Mozambique,,,0
oecd,Myanmar,,,0
oecd,Namibia,,,0
oecd,Nauru,,,0
oecd,Nepal,,,0
oecd,New Caledonia (France),,,0
oecd,Nicaragua,,,0
oecd,Niger,,,0
oecd,Nigeria,,,0
oecd,North Macedonia,,,0
oecd,Northern Mariana Islands (USA),,,0
oecd,Oman,,,0
oecd,Pakistan,,,0
oecd,Palau,,,0
oecd,Palestine,,,0
oecd,Panama,,,0
oecd,Papua New Guinea,,,0
oecd,Paraguay,,,0
oecd,Peru,,,0
oecd,Philippines,,,0
oecd,Puerto Rico (USA),,,0
oecd,Qatar,,,0
oecd,Republic of Moldova,,,0
oecd,Romania,,,0
oecd,Russian Federation,,,0
oecd,Rwanda,,,0
oecd,"Saint Helena, Ascension and Tristan da Cunha (UK)",,,0
oecd,Saint Kitts and Nevis,,,0
oecd,Saint Lucia,,,0
oecd,Saint Vincent and the Grenadines,,,0
oecd,Samoa,,,0
oecd,San Marino,,,0
oecd,Sao Tome and Principe,,,0
oecd,Senegal,,,0
oecd,Serbia,,,0
oecd,Seychelles,,,0
oecd,Sierra Leone,,,0
oecd,Singapore,,,0
oecd,Slovenia,2010,,1
oecd,Solomon Islands,,,0
oecd,Somalia,,,0
oecd,South Africa,,,0
oecd,Sri Lanka,,,0
oecd,Sudan,,,0
oecd,Suriname,,,0
oecd,Syrian Arab Republic,,,0
oecd,Taiwan Province of China,,,0
oecd,Tajikistan,,,0
oecd,Thailand,,,0
oecd,Timor-Leste,,,0
oecd,Togo,,,0
oecd,Tonga,,,0
oecd,Trinidad and Tobago,,,0
oecd,Tunisia,,,0
oecd,Turkmenistan,,,0
oecd,Tuvalu,,,0
oecd,Uganda,,,0
oecd,Ukraine,,,0
oecd,United Arab Emirates,,,0
oecd,United Republic of Tanzania,,,0
oecd,Uruguay,,,0
oecd,Uzbekistan,,,0
oecd,Vanuatu,,,0
oecd,Venezuela (Bolivarian Republic of),,,0
oecd,Viet Nam,,,0
oecd,Yemen,,,0
oecd,Zambia,,,0
oecd,Zanzibar (United Republic of Tanzania),,,0
oecd,Zimbabwe,,,0
